"Spot","CH","POS.start","POS.end","GBM31"
26674,13,17206847,17207306,-0.4562136294
18835,13,17257217,17257721,0.1166423543
6018,13,17257217,17257721,0.1488984408
39242,13,17545911,17549156,-0.0485949238
7480,13,18015567,18016029,0.1927421962
17774,13,18019288,18020661,0.136487362
16179,13,18019855,18020337,-0.0451590066
21043,13,18032278,18032814,0.1148120895
7171,13,18038562,18039008,-0.6050228495
29121,13,18045081,18045454,0.0701637466
7157,13,18046895,18049963,0.3833604703
7502,13,18046896,18047229,-0.4175859058
15353,13,18075410,18078180,-0.720352637
21132,13,18137656,18138176,-0.1846704596
8371,13,18208420,18208813,-0.2107197447
30563,13,18209597,18223559,-0.5251482875
26842,13,18329227,18329747,-0.0470274026
2144,13,18394151,18394701,-0.4617663618
38216,13,18394422,18394925,-0.2537645215
7550,13,18453492,18453786,0.1561954702
17432,13,18458431,18458870,-0.3604582315
40386,13,18458954,18459411,0.1956693885
23096,13,18459585,18459970,-0.8288617105
23789,13,18460574,18460791,0.2136662292
28303,13,18462683,18463071,-0.3163424731
12049,13,18510393,18510507,-0.4595922027
14756,13,18510393,18510507,0.0669898505
35361,13,18553703,18554081,-0.3278743975
18442,13,18559610,18560057,-0.2218110343
12583,13,18775812,18776226,0.0505370681
11395,13,19035647,19063503,-0.3087980166
10743,13,19063256,19063503,-0.167796352
31775,13,19073807,19074603,0.0219340692
12475,13,19075067,19076189,0.7201835822
13738,13,19092211,19092642,-0.8129311622
3162,13,19094770,19095241,-0.6958791688
6423,13,19101070,19104167,-0.4677036907
28938,13,19151269,19151427,-0.050388799
3047,13,19155835,19159707,-1.1500121606
37748,13,19345175,19345383,0.0289611692
17055,13,19520571,19520977,-0.5439065397
9270,13,19520670,19520974,-0.4156401605
313,13,19526470,19526961,-0.4998481247
18964,13,19536850,19537146,0.185585603
19324,13,19549297,19549657,-0.40820796
24930,13,19549320,19549660,-0.1192176255
28491,13,19550850,19551218,0.2985639015
22504,13,19659776,19666997,-0.3139127448
10252,13,19675650,19683258,-0.4550390335
11274,13,19677326,19677649,0.1987658885
9341,13,19700974,19701378,-0.2191889988
13486,13,19744716,19745144,0.0960804616
18662,13,19747277,19747651,0.1749193992
