n,seg,dist,stat,penalty,py_time,r_time
5000,AMOC,Normal,MeanVar,MBIC,0.00625457763671875,0.07857093811035157
10000,AMOC,Normal,MeanVar,MBIC,0.012478351593017578,0.07546639442443848
50000,AMOC,Normal,MeanVar,MBIC,0.04685750007629395,0.3473523616790771
100000,AMOC,Normal,MeanVar,MBIC,0.087786865234375,0.7195452213287353
500000,AMOC,Normal,MeanVar,MBIC,0.45480051040649416,4.016128206253052
1000000,AMOC,Normal,MeanVar,MBIC,0.9312495708465576,8.044026279449463
500,BinSeg,Normal,MeanVar,MBIC,0.015625619888305665,0.07857308387756348
750,BinSeg,Normal,MeanVar,MBIC,0.03125019073486328,0.056695413589477536
1000,BinSeg,Normal,MeanVar,MBIC,0.040628242492675784,0.07540192604064941
2500,BinSeg,Normal,MeanVar,MBIC,0.09726605415344239,0.18437495231628417
5000,BinSeg,Normal,MeanVar,MBIC,0.19103574752807617,0.37213783264160155
7500,BinSeg,Normal,MeanVar,MBIC,0.29415054321289064,0.5317131519317627
500,PELT,Normal,MeanVar,MBIC,0.015625858306884767,0.04106011390686035
1000,PELT,Normal,MeanVar,MBIC,0.03437528610229492,0.07853283882141113
5000,PELT,Normal,MeanVar,MBIC,0.14131364822387696,0.362499475479126
10000,PELT,Normal,MeanVar,MBIC,0.31916055679321287,0.7408908843994141
50000,PELT,Normal,MeanVar,MBIC,1.713219451904297,3.746875047683716
100000,PELT,Normal,MeanVar,MBIC,3.477871608734131,7.666005373001099
100,PELT,Empirical,MeanVar,MBIC,0.003125,0.07232780456542968
350,PELT,Empirical,MeanVar,MBIC,0.01562533378601074,0.8662863731384277
700,PELT,Empirical,MeanVar,MBIC,0.043749523162841794,3.5319186210632325
1000,PELT,Empirical,MeanVar,MBIC,0.05937228202819824,7.203821134567261
1350,PELT,Empirical,MeanVar,MBIC,0.08602819442749024,13.178474950790406
1750,PELT,Empirical,MeanVar,MBIC,0.10770049095153808,22.55258708000183
2000,PELT,Empirical,MeanVar,MBIC,0.12293515205383301,28.683408117294313
