dataset,seg,dist,stat,penalty,py_time,r_time
wave_c44137,AmocSeg,Normal,Mean,BIC,0.0010958200000001027,0.012973135000000191
wave_c44137,AmocSeg,Normal,Var,BIC,0.0013150600000000345,0.00867098499999992
wave_c44137,AmocSeg,Normal,MeanVar,BIC,0.0009061250000000243,0.010201720000000058
wave_c44137,BinSeg,Normal,Mean,BIC,0.14947452000000022,0.03130298999999992
wave_c44137,BinSeg,Normal,Var,BIC,0.21727684000000042,0.2660442649999995
wave_c44137,BinSeg,Normal,MeanVar,BIC,0.22605038499999958,0.2516503299999998
wave_c44137,PeltSeg,Normal,Mean,BIC,0.25047934000000077,0.07398406000000116
wave_c44137,PeltSeg,Normal,Var,BIC,0.27136132000000046,0.35121754500000046
wave_c44137,PeltSeg,Normal,MeanVar,BIC,0.06512369000000043,0.1426586400000005
ftse100,AmocSeg,Normal,Mean,BIC,0.00024008000000037556,0.0009073850000017814
ftse100,AmocSeg,Normal,Var,BIC,0.0002884649999998601,0.0014827949999997258
ftse100,AmocSeg,Normal,MeanVar,BIC,0.00030598500000067475,0.001552009999999271
ftse100,BinSeg,Normal,Mean,BIC,0.01611782499999954,0.003295600000000931
ftse100,BinSeg,Normal,Var,BIC,0.023334745000000368,0.024916469999999434
ftse100,BinSeg,Normal,MeanVar,BIC,0.02391170499999795,0.02676282499999978
ftse100,PeltSeg,Normal,Mean,BIC,0.6644271350000001,0.11134217000000177
ftse100,PeltSeg,Normal,Var,BIC,0.06216250499999774,0.06494014499999992
ftse100,PeltSeg,Normal,MeanVar,BIC,0.0819779149999981,0.09105179000000092
HC1,AmocSeg,Normal,Mean,BIC,0.0003972000000011633,0.0018860149999980536
HC1,AmocSeg,Normal,Var,BIC,0.0004248750000002133,0.003283479999998917
HC1,AmocSeg,Normal,MeanVar,BIC,0.0005276600000009068,0.0037764399999986155
HC1,BinSeg,Normal,Mean,BIC,0.054948444999998715,0.009790705000000344
HC1,BinSeg,Normal,Var,BIC,0.07905891499999954,0.08260182500000184
HC1,BinSeg,Normal,MeanVar,BIC,0.08187879999999695,0.08685406500000141
HC1,PeltSeg,Normal,Mean,BIC,0.001700245000001388,0.01873851000000002
HC1,PeltSeg,Normal,Var,BIC,0.35269556500000193,0.35285901499999994
HC1,PeltSeg,Normal,MeanVar,BIC,0.22142378500000107,0.24934024999999949
Lai2005fig3,AmocSeg,Normal,Mean,BIC,0.00019770000000036704,0.0005993150000008996
Lai2005fig3,AmocSeg,Normal,Var,BIC,0.00018169500000055904,0.0007083499999986032
Lai2005fig3,AmocSeg,Normal,MeanVar,BIC,0.0001926399999966577,0.000732925000000506
Lai2005fig3,BinSeg,Normal,Mean,BIC,0.0010807450000001495,0.0010724900000013804
Lai2005fig3,BinSeg,Normal,Var,BIC,0.0014967850000019212,0.0024419149999999946
Lai2005fig3,BinSeg,Normal,MeanVar,BIC,0.0015769949999999255,0.0030771850000007816
Lai2005fig3,PeltSeg,Normal,Mean,BIC,0.00775086000000158,0.002251865000000919
Lai2005fig3,PeltSeg,Normal,Var,BIC,0.006811755000000375,0.008060839999998137
Lai2005fig3,PeltSeg,Normal,MeanVar,BIC,0.006456739999998007,0.008473464999998726
Lai2005fig4,AmocSeg,Normal,Mean,BIC,0.0001788550000000555,0.0005966499999985331
Lai2005fig4,AmocSeg,Normal,Var,BIC,0.00021471499999918818,0.0008142450000001133
Lai2005fig4,AmocSeg,Normal,MeanVar,BIC,0.0001900999999982389,0.0008109300000015196
Lai2005fig4,BinSeg,Normal,Mean,BIC,0.00016877500000092027,0.0013420300000014152
Lai2005fig4,BinSeg,Normal,Var,BIC,0.00021086499999967145,0.001320669999999069
Lai2005fig4,BinSeg,Normal,MeanVar,BIC,0.00024797500000275365,0.0014545100000006527
Lai2005fig4,PeltSeg,Normal,Mean,BIC,0.00018274000000104707,0.0012684849999999414
Lai2005fig4,PeltSeg,Normal,Var,BIC,0.00021620000000055484,0.0019122299999992265
Lai2005fig4,PeltSeg,Normal,MeanVar,BIC,0.0002834650000011152,0.001878044999998707
