n,seg,dist,stat,penalty,py_time,r_time
100,PeltSeg,Normal,Mean,MBIC,0.0003514200000001466,0.03112854000000027
500,PeltSeg,Normal,Mean,MBIC,0.00042608000000008415,0.0018968399999998553
1000,PeltSeg,Normal,Mean,MBIC,0.0010205599999999037,0.0031565400000001633
5000,PeltSeg,Normal,Mean,MBIC,0.005073619999999934,0.012140100000000232
10000,PeltSeg,Normal,Mean,MBIC,0.012457039999999964,0.026332639999999685
50000,PeltSeg,Normal,Mean,MBIC,0.08459168000000047,0.15084189999999928
100000,PeltSeg,Normal,Mean,MBIC,0.16443997999999987,0.28017337999999975
100,PeltSeg,Empirical,MeanVar,MBIC,0.0006806800000006774,0.008084039999999959
500,PeltSeg,Empirical,MeanVar,MBIC,0.003031179999999978,0.21351399999999926
1000,PeltSeg,Empirical,MeanVar,MBIC,0.006447640000000377,0.869815419999999
